text_final,sentiment
maaf ya kali gajelas banget dana saldo kurang alas langgan youtube langgan salah youtube bayar dan bayar transaksi lantas siapa transaksi pakai password password tau tolong ya kapok banget meski receh hilang uang entah mana lari uang,negatif
aplikasi dana bagus masak transaksi uang ku hilang ribu dua hilang ribu refund aja nggak kecewa banget nggak transaksi gitu,negatif
udah pake dana kali kendala beli paket data delay nya banget udah proses cancel chat cs ngga tolong baik saldo paket data masuk,positif
limit dana instan sedia udah ambil x bayar lunas limit gak aju muncul kendala kemarin kecewa layan dana,negatif
aplikasi awalny oke tpi uang ndk tepakai bsa hilang transaksi yg bkn tidk bsa kembali uang isi kuota yg slh nomor yg bsa refund dgn alas transaksi hasil jd tidk bsa refund,negatif
kecewa aplikasi pakai qris dana bisnis jual qris dana bisnis beli bayar beli scan qris bayar muncul notif bayar batal alas aman udah kaya gin loh sampe,negatif
gjls banget beli game gak tolong cepat baik bug beli game playstore tetep tulis eror gajelas banget app nya beda banget app belah beli apa gak batas yg saldo,negatif
simpan uang apk uang hilang gak tindak suruh nunggu minggu customer service ribet banget sumpah chat akun media dana gak tindak respon maaf aja inti rugi pakai aplikasi,negatif
woi benerin noh bug lu gabisa liat aktivitas nya gmn gua nge ss bukti nya anjr mohon baik jaring bagus liat tiktok lancar pas buka aktivitas ngestuck loading screen,negatif
mohon proses verifikasi qris mudah cepat saya gagal kode qr data lengkap moga depan sistem verifikasi mudah paham rumit umkm terima kasih,netral
aplikasi error gakjelas saldo jdi dikit ga gw pake beli apa ilang bgtu sja pas refund jdai utang sono noh yg ngambi duit aja nge refund lgsg gw nya yg tagih gak jelas benerin ni aplikasi hati hati guna dana,negatif
saya kecewa aplikasi saldo hilang aman proritaskan ko bajak kecwa tolong perbaikki buka sakal udah saldo kurang trus,negatif
akun login verifikasi wajah karna nomor hilang dan gmail proses ganti nomor sampek balesan benar akun gimana butuh saldo akun mohon cepat benar,positif
knp aplikasi dana cicil akun dana aktif transaksi beli token listrik topup ewalet beli kuota dlu sampe dana cicil say blum saldo dana cicil nya udah sedia trimakasih,positif
bagus sih guna banget hanya ngasih dana cicil akibat telat bayar sy lunasin pas bayar token ehdana cicil gak iklan muncul gitu ayoo bayar pake dana cicil s aat dana cicil sedia tolong menu dana paylater gak usah muncul ngasih dancil,netral
tolong konfirmasi kendala transaksi beli kuota emang kendala notif udah beli notif kendala uang mohon konfirmasi kasihan udah beli saldo beli kuota dana kasihan naroh uang sini nominal hilang mngsudnya coba,negatif
udah update tg baru suara pemberitahuan nya hilang versi baru gmna ni yaa notifikasi dana handpone udah aktifin suara nya gak volume max,negatif
top up via atm masuk lapor live chat arah bikin lapor aplikasi yg aplikasi robot aplikasi suruh tunggu respon kecewa dana sulit kendala dana aplikasi uang yg bikin guna aman,negatif
telah cek pusat kartu perdana nya eror pulsa kartu perdana beli provider sedia kasih daily chek in a nya dapat,netral
dana banget bug nya yah bayar qris muncul terang fitur akses bayar kesini banget bug nya,negatif
top up ribu tidur pas bangun transaksi hasil ribu langgan wps office konfirmasi saldo langsung hilang aja konfirmasi tolong baik,negatif
tolong kalok baik sistem min masak scan barcode tulis fitur akses barcode kedaluwarsa cacat batas scan limit udah premium,positif
halo lunas tagih bukti bayar riwayat tapi daftar tagih cicil tulis lunas mohon baik data ganggu,negatif
kecewa dana transaksi luar sepengatahuan izin saldo dana rb kirim sdh lapor tp dana transaksi bener takut simpat saldo dana lg yg enak aman kecewa sesal cakap tanggap sesal simpan uang dana,negatif
tolong developer tolong batal bayar langgan otomatis karna menggangu langgan aplikasi bayar yg install saldo dana kurang tahu resah yg dapat saldo dana kurang bangun pagi tau orangbisa isi dana aplikasi saldo yg pakai langgan d kembali,positif
suka dompet digital mudah harap dana canggih aman fitur fitur baru nya dana cicil dana instan tunggu lpo nya bursha efek indonesia ya good luck team dana grup,positif
sistem android salah aplikasi deteksi aplikasi dana mogok harap tunggu baru baik kirim umpan salur layan langgan aplikasi update mei kayak gin tolong baik,netral
karena aplikasi hapus ga sengaja pulih aplikasi aktifin instal gabisa masuk akun alas kendala melulu ga selesai selesai solusi admin,positif
saldo dana minggu transaksi pakai sayang butuh tagih saldo pakai gak lapor x gak bantu seknifikan tesek saldo nya muter gak keluh keluh dana gak tanggap serius nya metode bayar pakai saldo dana gak akun premium,positif
kali dana bikin kecewa top up indomaret pemberitahuan komputer kasir sukses by push dalam aplikasi dana uang masuk tanggung dana transfer uang sungguh kecewa,negatif
apakah saldo masuk top up sampe notifikasi saldo masuk status kirim sukses tunggu tolong kak apk dana nya baik aman harap moga keluh cepat d tanggap krna in uang sdikit,negatif
saat data seluler kadang kendala internet putus kuota wifi butuh jalan susah tolong benah,positif
verifikasi pakai sandi wajah masih masuk haris kode otp trusss kartu hilang ribet beda dompet digital pakai verifikasi wajah langsung masuk,negatif
terimakasih aplikasi dana paylater terimakasih dana instan pinjam nya sisa limit nya ga tarik ya bayar tagih nya mohon bantu nya,positif
aju pinjam menu dana instan alami ganggu cair tunggak serta bunga lunas jujur kecewa ganggu jni semogaa cepat baik apk yg penguna,negatif
pakai dana kirim uang e wallet shopee pay dana masuk saldo potong riwayat terang tgl mei saldo gagal hasil saldo aja potong pdhl duit ribu tp ko ga masuk riwayat transaksi saldo doang potong saldo masuk shopee pay kalo saldo nya udh lg ubah bintang nya klo gada baik dlu sistem nya uang ribu doang hilang juta,negatif
dana cicil sedia laku limit sedia lunas sblm jatuh tempo sedia laku fitur kalo refresh udah aneh,netral
aplikasi jelek netflix mudah akses ambil saldo dana penguna langgan dana konfirmasi,negatif
gue pake dana kecewa sistem opsi bot hubung cus dana tidakbisa hubung tangal bug transaksi gada one pasword tow transaksi sistem metode bayar beda one transaksi qr invalid nya bayar taut my telkomsel ga aman pake e com bayar era e com akses mudah transaksi simpel jamin aman transaksi gue bug sistem respon,negatif
maaf bintang aktif masuk uang kesini kena admin ya coba klik dana cicil recomend saudara yg jarang pake dana dapet limit dana cicil eh gagal histori transaksi banding saudara kayak aneh deh bijak dana mungkin uninstal aja ah pindah aplikasi lai,negatif
sangat kecewa apk dana saya alami transaksi kenal dana merespon lambat terang apk dana kata nya lindung saldo dana satu juta enam ratus lenyap saya hilang percaya an apk buat temen pakai apk simpan uang apk karna hilang gak ganti saya kasih bintang lima biar cepat baca,positif
hilang saldo dana plus contact service resmi kasih customer service nya bantu cari solusi daftar proteksi extra hilang saldo dana plus notifikasi transaksi mohon depan sulit cust hilang saldo mohon mudah cust hilang saldo bingung lapor saldo notif,negatif
kali kena hilang duit aplikasi suruh tunggu selesai gak duit bayar perlu yg hilang transfer rekening orang notifikasi transaksi hasil selagi aplikasi kena baja kapok pake aplikasi,negatif
jelek banget apk nya masalh teknis aja uang hilang trs ngk transaksi ngk tanggung banget ni aplikasi masak cairin uang emas aja k trs masalah uang hilang blm cairin chet tik tok akun centang biru ngk bales komplen posting bales chet ngk kayak nya emang sengaja uang hilangin jatuh tipu ngk sih,negatif
aduh gimana min gabisa login akun premium masuk nomor telpon gabisa baca upss kendala nih coba tunggu jaring stabil gimana min lapor kesana kesini gaada akun saldo nya tolong baik orang muak lu dana,negatif
login akun ya riset pin karna lupa pin kendala tunggu tolong dana baik aplikasi layan nya cepat butuh karna genting,negatif
dana ya banget login dana jaring jaring lancar pake wifi gabisa pdhl top up akun dana gabisa login gimna sih kecewa sih baik,negatif
sayang nya fitur dana cicil nya transaksi pake dana udah nunggu msih blom upgrade udah transaksi lancar blom fitur dana cicil sumgguh kecewa,positif
lumayan bagus bayar kode qr qr nya foto gk pencet opsi pay foto salah ntah hp,positif
aplikasi bagus bantu sayang minus nya koneksi tangan aplikasi koneksi internet jaring data klw pakai wifi lancar tolong baik koneksi,positif
guna dana transaksi dana akun vitur layan pinjam dana premium saya tolong min layan akun upgrade mei perlu yg darurat limit jtan tolong ya min dana sukses,positif
saya barusan pagi top up pulsa smartfren rb bayar via apk dana saldo potong pulsa masuk saya kecewa dana smartfren sudah pakai smartfren dana x jadi kendala buruk provider apk buat orang mending pakai dana smartfren percaya amanah apk tsb saya marah,negatif
dana cicil d tampil klau ga d limit habis gausah kasih tampil d hubung ana bantu d coba kala beda minggu blan sedia d kolom bayar d cek saldo limit cicil d tanya nya saldo limit cicil d ya saldo limit nya hapus aj tuh dana cicil,negatif
coba koreksi lgi karna isi pulsa dana isi otomatis no no bekas riwayat isi nya fokus harap hati hati isi harap cek karna isi pulsa rb dikarnakan biasa isi no hp orang,negatif
top up tanggal jam rb ga masuk udah gitu nyoba besok top up semalem ga masuk dana lambat bilang x nyata nya uang rb hilang nama rugi banget sii,negatif
gimana ya download dana daftar daftar nomor telepon langsung arah no pin otp no pin pasu pin pasuk no pin tulis lupa pin bikin akun nomor tolong dana gimana,negatif
ada bug saat buka bukti transaksi dana bank bri error saldo kurang uang masuk bank tuju saya lapor ana ana paham maksud suruh isi pilih sedia mohon bantu buka bukti transaksi butuh bukti perlu,positif
sebener nya manfaat aman jadi tanggal mei kemarin jam malam transaksi handphone mati dana transaksi kode handphone mati transaksi tahu mohon bantu nya,negatif
tolong kembali uang min nya nya mana ko hilang min ngirim pas cek aplikasi dana uang malam pagi nya ko,negatif
sudah pakai app dana bantu utk transfer wallet bank dgn free admin sesuai kouta utk beli pulsa listrik tagih jg adminnya murah alhamdulillah akun bs nope tdk aktif,positif
aplikasi bagus turut aja top up dana rp esok hari cek isi saldo kurang rp sisa rp jadi kali kecewa,negatif
sebener nya apk nya bagus sayang nya fitur pulih akun dana kasih fitur udah kartu nya non aktif kasih fitur terima kode ferekasi gmail biar member mudah guna pulih akun dana kasi dana nya saldo nya login ka developer mohon baca ya,positif
download aplikasi dana hp terinstal masuk dana no yg tpi pas foto wajah gk barcode nya d situ tulis lanjut masuk pin knpa ulang masuk pin peri lokasi wajah gk gambar kamera mohon tunjuk,positif
kali top up saldo dana e money tambah saldo kurang adu selesai dana kompensasi email ana selesai,negatif
dasar tipu beli paket kuota x paket data nomor hp yg kirim emang dana tanggung ketidaknyamanan tolong uang kembali kalo kembali kasi paket kuota,negatif
aplikasi ampas dipake ga udh kali ya gw transfer rekening bank pending mulu suruh tunggu jam malam jadi yg tanggal mei ga niat banget bikin dompet digital hadehhh,negatif
lebih oke nomer aktif terima status premium nya pindah nomor uang ratus ribu lumayan mohon perhati,positif
apk nya bgus dana hilang udah kali rb gimna sih aplikasi nyaa tolong aman nyaaa uang hilang lagi udahh capek nyari uangg hilang gitu ajaa gimana sihh yg nyiptain aplikasi nyaaa,netral
maaf bintang tapi heran deh dana transaksi aktif fitur dana cicil anak nyampe makenya fitur dana cicil hadeh ayo bantu,negatif
sampe dana nya gabisa pake koneksi putus udah langsung ig nya dana gaada respon bug sungguh kecewa,negatif
apk taik udah make fitur dana cicil gak muncul nyesel make apk apk pilih kasih daftar udah udah make gak pokok gak dipake,negatif
kecewa guys tahun taun apk hianati saldo tau tau hilang hilang juta minimal kah rugi guna setia tidk alami kali kali juta hilang gak,negatif
masih pake dana agustus lebih nggak bikin akun qris usaha lama bgt proses sangat buruk tarik saldo qris bisnis proses dana kembang teknologi kompetitor,negatif
hai dana kualitas mu pesan kali terima iklan judi online dana tanggung pesan admin judol harap opsi lapor blokir iklan ganggu terimakasih,positif
nice wallet maaf heran klo pake data seluler buka koneksi internet kuota upgrade install ulang tutorial blm sampe pake wifi mohon solusi dana,positif
sudah verifikasi dana cicil pas transaksi dana cicil fitur aneh mending ilangin aja fiturnya kalo pakai paksa uninstall aplikasi scam mending pake ovo seabank worth it,negatif
ya proses akun isi saldo toko aplikasi tiga digipos aja akun premium masuk akun premium proses suruh tunggu x jam proses akun dana email udah masuk kasih bintang,negatif
aplikasi utama akun guna bener bener kecewa pilih kasih dana syarat penuh transaksi premium dana bertimakasih transaksi percaya guna dana hadiah terima kecewa dana,negatif
pindah dana saldo ilang tolong jelas udah nungguin bolak cek akun pas tingal jm nunggu nunggu malam saldo ilang,netral
transaksi qris gagal fitur tdk ramai ganti qris alas dlho gitu ya,negatif
kali beli kuota kuota masuk tidak respons kembali dana dana gak beli pakek aplikasi dana hati ya aplikasi suka erro uang potong tpi kuota masuk,negatif
kurang dana fitur hapus transaksi tarik kirim tunggu hilang fitur hapus langsung batas,positif
